OWNERID,QUEUEID,QUEUETYPE,MEMBERID,LASTMODIFIEDBYTYPE,ADDEDBY,SHOWQUEUEMEMBERS,IPADDRESS
721,5362,2,5106,0,5477,0,
721,5387,2,12428,-1,11479,0,
721,5359,2,10977,0,5477,0,
721,5383,2,9741,-1,1,0,
721,5356,2,8733,0,11551,0,
721,5359,2,10574,0,5475,0,
721,5352,2,9741,-1,5826,0,
721,5359,2,5434,-1,5826,0,
721,5336,2,11924,-1,5650,0,
721,5373,2,9374,-1,5650,0,
721,5345,2,6519,0,11479,0,
721,5359,2,6169,-1,5635,0,
721,5354,2,7677,-1,5477,0,
721,5368,2,6424,-1,1,0,
721,5377,2,9374,0,11479,0,
721,5362,2,8598,0,13023,0,
721,5338,2,9552,-1,11728,0,
721,5338,2,13751,-1,11479,0,
721,5333,2,6679,-1,11479,0,
721,5369,2,10514,0,5475,0,
721,5364,2,14125,0,11479,0,
721,5357,2,14459,-1,5826,0,
721,5335,2,5525,0,5826,0,
721,5336,2,5106,-1,11479,0,
721,5383,2,11572,-1,13023,0,
721,5345,2,8527,-1,5826,0,
721,5357,2,11912,0,11551,0,
721,5334,2,12573,-1,5477,0,
721,5377,2,6307,0,11728,0,
721,5368,2,9012,0,5475,0,
721,5334,2,6535,0,5650,0,
721,5340,2,7677,0,11728,0,
721,5370,3,12527,0,13023,0,
721,5363,2,7547,-1,11479,0,
721,5377,2,9741,-1,1,1,
721,5373,2,7615,-1,11479,0,
721,5368,2,9803,-1,5635,1,
721,5341,2,5750,-1,5477,0,
721,5387,2,6674,0,11728,0,
721,5356,2,11924,0,5650,0,
721,5353,2,9374,-1,5475,0,
721,5365,2,14891,0,1,0,
721,5364,2,15980,0,5477,0,
721,5356,2,9333,0,5650,0,
721,5348,8,6139,0,5635,1,
721,5347,2,10820,0,5635,0,
721,5365,2,8657,0,13023,0,
721,5348,8,11201,-1,13023,1,
721,5343,2,8814,0,5475,0,
721,5345,2,5520,0,1,0,
721,5365,2,9010,-1,5475,0,
721,5379,2,15485,0,5475,0,
721,5384,2,12428,0,11551,0,
721,5367,2,9012,-1,5635,0,
721,5378,2,11912,0,5475,0,
721,5387,2,5520,0,5477,0,
721,5350,2,8657,0,1,0,
721,5366,2,10925,-1,5635,0,
721,5369,2,9422,-1,5477,0,
721,5379,2,7045,-1,13023,0,
721,5344,2,5106,0,11479,0,
721,5382,2,6824,0,11479,0,
721,5349,2,6424,0,11551,1,
721,5364,2,7803,0,11479,0,
721,5364,2,8611,0,13023,0,
721,5348,8,10820,0,5826,0,
721,5350,2,7677,0,11479,0,
721,5384,2,8456,-1,5826,0,
721,5362,2,8456,-1,5826,0,
721,5338,2,7803,-1,5826,0,
721,5383,2,5916,-1,5475,0,
721,5381,2,8657,0,13023,0,
721,5366,2,8752,-1,5475,0,
721,5334,2,10168,0,5477,0,
721,5367,2,12527,0,5477,0,
721,5356,2,6674,0,5475,0,
721,5333,2,14863,-1,11728,1,
721,5368,2,12527,-1,11728,0,
721,5367,2,8582,0,11551,0,
721,5384,2,9552,0,11551,0,
721,5338,2,15834,-1,5826,0,
721,5368,2,10881,-1,5475,0,
721,5355,2,14125,0,11728,0,
721,5358,2,9012,0,13023,0,
721,5347,2,12428,-1,11728,0,
721,5382,2,10168,0,5826,0,
721,5344,2,15299,-1,13023,0,
721,5360,2,9012,0,5635,0,
721,5347,2,12527,-1,11551,0,
721,5381,2,5711,-1,11728,0,
721,5336,2,7677,-1,5826,1,
721,5359,2,10635,-1,5477,0,
721,5363,2,13935,-1,5826,0,
721,5338,2,10635,-1,5826,0,
721,5344,2,8811,0,5477,0,
721,5350,2,8811,-1,11551,0,
721,5347,2,15980,0,1,0,
721,5359,2,8811,0,5650,0,
721,5333,2,15834,0,11551,0,
721,5339,2,8150,-1,5826,0,
721,5382,2,11227,0,13023,0,
721,5350,2,6679,0,11728,0,
721,5339,2,9741,0,5475,0,
721,5334,2,15617,-1,5475,0,
721,5379,2,7803,0,11728,1,
721,5370,3,6674,0,5650,0,
721,5339,2,14125,-1,5650,0,
721,5363,2,10925,0,5635,0,
721,5355,2,14044,0,5475,0,
721,5354,2,13785,-1,13023,0,
721,5336,2,11912,0,5475,0,
721,5366,2,8811,-1,5826,1,
721,5368,2,10635,-1,11728,0,
721,5382,2,11572,0,1,1,
721,5373,2,11224,0,5475,0,
721,5363,2,5434,0,5635,0,
721,5342,2,7664,0,5475,0,
721,5369,2,9557,0,5650,1,
721,5379,2,6169,-1,5826,0,
721,5377,2,7547,-1,5477,0,
721,5383,2,11224,0,11551,0,
721,5344,2,11065,0,5475,0,
721,5380,2,9506,-1,5650,0,
721,5365,2,6139,0,5477,0,
721,5376,2,10881,-1,1,0,
721,5383,2,14980,-1,5475,0,
721,5382,2,15133,0,5826,0,
721,5360,2,14654,-1,11551,0,
721,5362,2,11216,0,5650,0,
721,5358,2,9557,0,5826,0,
721,5363,2,6519,-1,5477,0,
721,5362,2,10881,-1,1,0,
721,5335,2,15647,-1,11728,0,
721,5338,2,8814,0,5475,0,
721,5378,2,8657,0,1,0,
721,5333,2,6584,0,5826,0,
721,5380,2,15299,0,5475,0,
721,5334,2,8257,0,11551,0,
721,5339,2,11924,0,5826,0,
721,5336,2,6291,0,11551,0,
721,5361,2,7803,-1,5650,0,
721,5342,2,9333,-1,5635,0,
721,5354,2,8611,-1,5826,0,
721,5383,2,9010,-1,5477,1,
721,5380,2,6307,0,5826,0,
721,5345,2,9422,0,11551,0,
721,5345,2,15403,0,11479,0,
721,5342,2,8814,-1,11479,0,
721,5358,2,6679,0,11479,0,
721,5336,2,6169,0,13023,0,
721,5345,2,10820,-1,11551,0,
721,5361,2,5434,-1,13023,0,
721,5337,2,10313,-1,5650,0,
721,5358,2,11924,0,13023,0,
721,5379,2,14195,0,11551,0,
721,5348,8,9803,0,5826,0,
721,5380,2,13751,0,5475,0,
721,5368,2,11216,0,11479,0,
721,5382,2,15617,-1,11551,0,
721,5382,2,14863,0,11479,1,
721,5377,2,7677,0,5477,0,
721,5336,2,11224,0,11551,0,
721,5382,2,14125,-1,11728,0,
721,5350,2,12527,0,5477,1,
721,5357,2,11873,-1,5477,0,
721,5362,2,5520,-1,11551,0,
721,5379,2,8811,0,5477,0,
721,5377,2,6084,-1,13023,0,
721,5366,2,11216,-1,13023,0,
721,5383,2,10168,0,5635,0,
721,5364,2,15834,-1,11551,0,
721,5369,2,14459,0,11479,0,
721,5361,2,9554,0,5477,0,
721,5373,2,13279,0,1,0,
721,5366,2,10977,-1,5650,0,
721,5362,2,14674,-1,11479,0,
721,5361,2,14863,0,5475,0,
721,5338,2,8150,0,1,0,
721,5352,2,8814,0,5635,0,
721,5336,2,13785,-1,1,0,
721,5339,2,10313,0,5477,0,
721,5362,2,15834,-1,13023,0,
721,5340,2,14674,-1,11479,0,
721,5344,2,10977,0,5475,0,
721,5347,2,6519,-1,1,0,
721,5380,2,14980,0,5475,0,
721,5357,2,9374,-1,5650,0,
721,5387,2,14863,0,11728,0,
721,5342,2,7615,0,5477,0,
721,5336,2,9554,0,5475,1,
721,5367,2,8814,-1,11728,0,
721,5358,2,7803,0,11551,0,
721,5350,2,5711,-1,11551,0,
721,5382,2,15403,-1,5826,0,
721,5337,2,13279,-1,11551,0,
721,5381,2,15647,0,13023,0,
721,5343,2,13935,0,1,0,
721,5358,2,8611,-1,11551,0,
721,5361,2,6291,0,11479,0,
721,5381,2,11873,0,11551,0,
721,5359,2,9010,0,11479,0,
721,5352,2,10168,0,11728,0,
721,5351,2,6307,0,11551,0,
721,5370,3,7547,-1,11728,0,
721,5373,2,13928,0,11551,0,
721,5334,2,7677,0,11479,0,
721,5387,2,15133,-1,13023,0,
721,5358,2,8752,0,5826,1,
721,5360,2,7803,-1,5475,0,
721,5352,2,12527,-1,1,0,
721,5373,2,11216,0,1,0,
721,5347,2,8456,0,11551,0,
721,5369,2,9012,-1,13023,0,
721,5366,2,14459,-1,5826,0,
721,5366,2,6291,0,11479,0,
721,5341,2,9506,-1,13023,0,
721,5368,2,8582,0,11479,0,
721,5363,2,6169,0,13023,0,
721,5343,2,6424,0,5477,0,
721,5345,2,11912,0,11551,0,
721,5368,2,15415,0,11479,0,
721,5387,2,8598,-1,11551,0,
721,5341,2,8611,-1,5635,0,
721,5368,2,10820,0,13023,0,
721,5368,2,8811,-1,5475,0,
721,5387,2,5916,0,5650,0,
721,5365,2,10820,-1,5477,1,
721,5381,2,6424,0,13023,0,
721,5342,2,8811,-1,5477,0,
721,5359,2,8582,-1,11479,0,
721,5334,2,8598,-1,11551,0,
721,5370,3,10514,-1,11479,0,
721,5368,2,8527,-1,11479,0,
721,5336,2,8814,-1,5826,0,
721,5344,2,8257,0,5826,0,
721,5350,2,14674,-1,5826,0,
721,5363,2,6084,0,5826,0,
721,5357,2,15403,0,11479,0,
721,5364,2,6139,-1,1,0,
721,5365,2,8733,0,5635,0,
721,5344,2,6584,0,11551,1,
721,5343,2,9386,0,5650,0,
721,5334,2,7615,0,5475,0,
721,5339,2,7286,0,11728,0,
721,5365,2,11924,-1,11551,0,
721,5376,2,6584,-1,5477,0,
721,5361,2,5750,0,11479,0,
721,5361,2,6139,-1,5635,0,
721,5359,2,7286,0,13023,0,
721,5381,2,11216,0,11479,0,
721,5339,2,10925,-1,11479,0,
721,5383,2,14044,0,1,0,
721,5369,2,7664,-1,11551,0,
721,5333,2,11201,0,5650,0,
721,5379,2,9422,-1,5477,1,
721,5352,2,13785,0,5650,0,
721,5383,2,14863,-1,5826,0,
721,5361,2,8657,-1,1,0,
721,5337,2,15834,0,5477,0,
721,5361,2,13279,0,5826,0,
721,5352,2,6169,0,5826,0,
721,5361,2,12428,0,5826,0,
721,5350,2,13785,0,5475,1,
721,5371,2,11224,-1,5826,0,
721,5381,2,8456,-1,1,0,
721,5349,2,9554,0,5477,0,
721,5347,2,9012,-1,5635,0,
721,5334,2,15299,-1,11728,0,
721,5365,2,8814,0,1,0,
721,5370,3,12359,0,13023,0,
721,5334,2,15647,0,5650,0,
721,5342,2,11216,0,5826,0,
721,5368,2,6519,-1,11479,0,
721,5387,2,12359,0,11551,0,
721,5368,2,5916,0,11479,0,
721,5384,2,15415,0,11728,0,
721,5344,2,6674,-1,11479,1,
721,5336,2,9333,0,11479,0,
721,5363,2,8611,0,5650,0,
721,5343,2,5488,-1,5635,0,
721,5370,3,9557,-1,1,0,
721,5356,2,5520,-1,1,1,
721,5349,2,9803,0,13023,0,
721,5383,2,10514,0,11479,0,
721,5336,2,9010,-1,5650,0,
721,5358,2,15647,0,5477,0,
721,5358,2,6291,0,5477,0,
721,5362,2,9012,-1,11479,0,
721,5339,2,10635,0,13023,1,
721,5367,2,9554,0,5477,0,
721,5355,2,7547,-1,5475,0,
721,5376,2,6139,0,5477,0,
721,5337,2,6674,-1,5477,0,
721,5380,2,14044,0,5650,0,
721,5352,2,12573,-1,5477,1,
721,5356,2,10881,-1,1,0,
721,5347,2,8150,0,11551,0,
721,5376,2,10820,-1,11479,0,
721,5377,2,7615,-1,5475,0,
721,5349,2,14044,0,5475,0,
721,5362,2,13785,-1,5635,1,
721,5356,2,5434,0,5826,0,
721,5377,2,10977,0,5650,0,
721,5363,2,9386,-1,5826,0,
721,5345,2,9554,0,5475,0,
721,5341,2,6679,-1,5826,0,
721,5349,2,10881,0,5475,0,
721,5387,2,8432,0,5475,0,
721,5345,2,6679,0,5477,0,
721,5355,2,11065,-1,5650,0,
721,5364,2,5916,-1,11728,0,
721,5340,2,10168,-1,5826,0,
721,5377,2,13935,-1,5475,1,
721,5356,2,9012,0,11728,0,
721,5343,2,6084,0,11551,1,
721,5348,8,8150,0,11728,0,
721,5382,2,15415,-1,11551,0,
721,5367,2,6291,-1,5635,0,
721,5383,2,5409,0,13023,0,
721,5367,2,15133,0,5635,0,
721,5342,2,5434,0,5635,0,
721,5376,2,9386,-1,1,0,
721,5365,2,6169,-1,5635,0,
721,5339,2,9374,-1,13023,0,
721,5387,2,7286,-1,1,0,
721,5338,2,15415,-1,1,0,
721,5334,2,10820,0,5635,0,
721,5344,2,7677,-1,11728,0,
721,5359,2,7664,-1,11728,0,
721,5359,2,9333,0,5650,0,
721,5365,2,9803,-1,11479,0,
721,5356,2,7615,-1,11479,0,
721,5344,2,5750,-1,5650,0,
721,5365,2,7664,-1,11728,0,
721,5363,2,10635,-1,13023,0,
721,5336,2,12428,-1,1,0,
721,5384,2,15617,-1,5475,0,
721,5383,2,15980,-1,13023,0,
721,5337,2,6519,-1,5635,0,
721,5378,2,8582,0,5635,0,
721,5352,2,7615,0,11479,0,
721,5367,2,9010,0,11479,0,
721,5361,2,6307,0,5475,0,
721,5376,2,15834,0,5635,0,
721,5378,2,14863,-1,11479,0,
721,5371,2,8432,0,11479,0,
721,5337,2,5106,0,5826,0,
721,5357,2,10977,0,11479,0,
721,5357,2,5916,0,13023,0,
721,5342,2,8257,-1,5650,0,
